0-1背包问题实验数据

算法: 动态规划法
执行时间: 257.00 ms
背包容量: 10000

物品编号,重量,价值
1,14,314.62
6,9,347.00
8,7,265.22
10,32,372.36
11,3,220.89
17,19,375.92
25,12,251.14
33,22,413.00
34,23,344.33
37,3,337.35
39,24,355.07
40,25,341.77
42,7,418.48
44,4,392.80
46,37,420.69
50,18,365.09
58,25,284.79
61,9,173.00
65,17,221.55
73,18,407.74
89,6,319.06
90,2,116.13
93,15,389.63
105,12,385.89
112,24,421.59
113,4,331.10
115,32,368.10
116,8,307.55
117,4,264.68
122,16,338.64
123,3,329.69
129,5,292.74
131,8,157.10
135,15,366.40
136,2,405.20
137,29,322.06
139,12,250.24
140,4,154.63
142,22,388.60
146,17,205.71
152,34,424.85
153,1,130.76
156,13,215.06
157,21,362.48
158,10,257.20
161,2,152.16
169,10,301.37
172,5,218.61
173,35,390.11
176,16,232.07
182,16,348.51
189,16,329.90
190,25,404.79
191,12,319.38
195,28,370.20
197,18,247.23
200,1,248.80
202,24,402.93
208,13,173.44
215,7,226.51
217,21,367.19
221,7,152.38
222,1,174.67
232,23,281.37
233,5,238.38
235,5,427.67
236,31,386.25
247,9,145.84
255,24,372.62
256,12,184.12
267,28,322.83
270,31,410.50
271,15,227.79
272,4,344.09
273,6,342.51
282,25,298.46
283,34,394.42
285,15,276.46
286,14,252.95
289,2,374.24
290,9,168.52
291,23,405.56
293,2,412.18
294,21,274.08
298,11,250.43
301,23,401.09
302,15,178.73
308,26,423.55
310,4,330.87
314,18,359.79
334,8,130.83
339,12,280.17
346,13,194.67
351,3,215.75
353,11,279.82
355,11,355.44
358,12,167.39
359,16,189.25
361,18,279.38
363,29,359.88
368,7,328.54
369,8,115.84
387,3,225.71
388,3,214.80
402,6,384.04
406,8,313.45
408,6,152.30
411,21,355.97
416,18,231.12
418,20,374.11
419,5,371.81
421,27,313.17
423,5,399.27
428,15,413.07
429,36,402.18
443,2,318.40
444,8,150.23
447,19,261.21
461,9,209.87
462,24,306.08
464,18,235.96
471,22,404.71
484,34,425.09
495,3,183.92
498,2,232.38
502,14,202.64
507,17,238.23
508,11,399.35
509,24,363.41
513,10,359.80
518,11,152.61
525,2,120.36
526,3,238.76
527,31,397.43
528,9,269.70
530,14,400.63
532,7,191.35
541,7,366.60
546,15,174.62
549,9,396.29
552,10,217.17
563,15,390.75
564,6,375.70
567,29,358.97
575,11,380.82
576,15,268.66
577,9,331.45
585,2,417.25
588,29,398.37
594,14,255.10
599,3,392.91
602,28,403.93
604,4,372.89
605,36,415.60
606,12,143.22
616,14,235.40
619,3,159.48
628,1,350.00
633,18,241.71
635,7,270.33
641,21,344.47
646,32,387.32
655,8,208.55
660,8,299.95
667,3,198.88
672,24,340.81
684,17,402.89
685,10,210.90
691,20,304.25
692,33,386.39
698,26,353.87
699,14,269.96
705,38,424.46
709,20,341.24
718,7,215.73
721,34,392.64
725,18,259.98
728,14,184.80
742,6,237.39
743,15,223.03
745,6,304.72
746,7,368.81
749,3,394.98
755,6,252.58
761,26,348.64
762,15,376.78
763,5,402.00
779,14,226.37
781,33,398.10
787,5,353.59
788,13,298.52
791,8,210.68
793,4,272.83
806,15,224.05
812,18,218.66
815,14,415.69
818,22,288.88
830,11,228.00
831,18,303.05
845,27,426.80
850,35,419.00
861,5,174.75
865,23,266.24
876,6,314.72
877,2,172.06
883,24,342.30
892,12,336.54
899,15,236.69
902,9,172.69
905,14,415.07
906,38,419.21
910,16,220.48
911,8,307.38
913,25,356.83
921,20,310.77
924,16,329.77
933,13,181.87
936,7,128.62
943,7,370.50
945,20,417.72
957,32,372.64
962,8,184.38
965,17,313.61
982,15,375.97
987,10,284.77
989,1,216.14
993,25,415.42
996,1,186.41
997,19,326.82
998,29,348.90
1000,21,255.07
1001,12,322.13
1005,5,205.50
1011,27,313.97
1022,3,406.44
1024,9,240.10
1026,26,310.64
1028,8,146.15
1034,25,419.12
